per_out,det-dist-oper,gamma,cloud_number,avg_len,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10
0.1,custom-custom-sum,0.4,10,41.0,0.615,0.586,0.591,0.56,0.549,0.555,0.544,0.534,0.532,0.535,0.08,0.078,0.066,0.074,0.075,0.068,0.082,0.068,0.079,0.078
0.12,custom-custom-sum,0.4,10,49.0,0.633,0.605,0.592,0.578,0.578,0.562,0.56,0.558,0.554,0.548,0.073,0.075,0.061,0.069,0.066,0.065,0.074,0.07,0.068,0.076
0.1,custom-custom-sum,0.4,15,41.0,0.615,0.583,0.587,0.564,0.549,0.552,0.547,0.54,0.53,0.538,0.081,0.076,0.063,0.065,0.067,0.06,0.082,0.061,0.076,0.08
0.12,custom-custom-sum,0.4,15,49.0,0.632,0.605,0.599,0.584,0.576,0.56,0.562,0.55,0.552,0.547,0.076,0.062,0.063,0.069,0.061,0.056,0.075,0.072,0.07,0.074
0.1,custom-custom-sum,0.45,10,41.0,0.612,0.585,0.589,0.555,0.549,0.557,0.544,0.539,0.531,0.533,0.079,0.081,0.068,0.074,0.071,0.066,0.077,0.066,0.077,0.073
0.12,custom-custom-sum,0.45,10,49.0,0.63,0.603,0.592,0.578,0.574,0.559,0.56,0.554,0.553,0.547,0.075,0.074,0.062,0.071,0.065,0.064,0.074,0.073,0.068,0.075
0.1,custom-custom-sum,0.45,15,41.0,0.614,0.585,0.586,0.564,0.547,0.552,0.548,0.539,0.533,0.539,0.082,0.072,0.061,0.068,0.065,0.059,0.082,0.06,0.072,0.08
0.12,custom-custom-sum,0.45,15,49.0,0.628,0.604,0.598,0.579,0.575,0.562,0.561,0.552,0.552,0.546,0.077,0.062,0.063,0.068,0.062,0.057,0.077,0.073,0.07,0.074
0.1,custom-custom-sum,0.5,10,41.0,0.611,0.583,0.585,0.557,0.548,0.557,0.545,0.538,0.534,0.536,0.081,0.078,0.07,0.074,0.072,0.063,0.075,0.067,0.076,0.073
0.12,custom-custom-sum,0.5,10,49.0,0.625,0.602,0.592,0.573,0.57,0.555,0.557,0.551,0.546,0.543,0.077,0.072,0.062,0.076,0.067,0.063,0.073,0.076,0.071,0.077
0.1,custom-custom-sum,0.5,15,41.0,0.612,0.583,0.583,0.556,0.548,0.547,0.544,0.537,0.533,0.537,0.083,0.07,0.066,0.071,0.067,0.059,0.082,0.063,0.074,0.078
0.12,custom-custom-sum,0.5,15,49.0,0.627,0.603,0.597,0.578,0.573,0.563,0.564,0.553,0.554,0.544,0.076,0.062,0.063,0.069,0.062,0.056,0.076,0.071,0.066,0.071
0.1,custom-custom-sum,0.55,10,41.0,0.607,0.579,0.58,0.551,0.541,0.554,0.537,0.532,0.53,0.529,0.082,0.08,0.071,0.075,0.068,0.064,0.074,0.065,0.074,0.078
0.12,custom-custom-sum,0.55,10,49.0,0.62,0.602,0.592,0.571,0.573,0.556,0.555,0.548,0.544,0.54,0.073,0.066,0.061,0.073,0.065,0.061,0.074,0.076,0.071,0.08
0.1,custom-custom-sum,0.55,15,41.0,0.607,0.576,0.575,0.55,0.543,0.539,0.539,0.536,0.526,0.531,0.083,0.071,0.067,0.076,0.066,0.061,0.087,0.063,0.076,0.079
0.12,custom-custom-sum,0.55,15,49.0,0.627,0.6,0.595,0.575,0.571,0.56,0.56,0.552,0.555,0.544,0.076,0.064,0.063,0.071,0.062,0.059,0.075,0.069,0.066,0.07
